Threshold Value,Thresh Value b/w 0-1,Sum-of-TSS Value
0,0,669413122.409503
1,0.00390625,652993541.248169
2,0.0078125,637699073.365382
3,0.01171875,623851377.715275
4,0.015625,607796736.92766
5,0.01953125,590255886.28521
6,0.0234375,573470181.322902
7,0.02734375,553611811.74476
8,0.03125,533564262.613744
9,0.03515625,511039509.680196
10,0.0390625,489273504.596633
11,0.04296875,466844223.558981
12,0.046875,445429879.09526
13,0.05078125,423353107.114171
14,0.0546875,401625297.943498
15,0.05859375,380826917.730805
16,0.0625,361290310.175263
17,0.06640625,340596853.134285
18,0.0703125,319690980.152327
19,0.07421875,300429970.899449
20,0.078125,283762355.18683
21,0.08203125,266381961.483305
22,0.0859375,250838932.336955
23,0.08984375,237366301.238398
24,0.09375,224097081.650691
25,0.09765625,212737898.061063
26,0.1015625,202625785.052363
27,0.10546875,193849407.610522
28,0.109375,186431100.858744
29,0.11328125,178297878.948249
30,0.1171875,172083811.465176
31,0.12109375,166526262.119112
32,0.125,161437210.086033
33,0.12890625,156394630.400376
34,0.1328125,152281596.115109
35,0.13671875,148704771.73327
36,0.140625,144761952.333034
37,0.14453125,141173436.732071
38,0.1484375,137905267.081877
39,0.15234375,135230935.572258
40,0.15625,132587597.198003
41,0.16015625,130737806.392193
42,0.1640625,129045617.610393
43,0.16796875,127481260.606867
44,0.171875,125675475.338419
45,0.17578125,124022441.066079
46,0.1796875,122391406.885447
47,0.18359375,120933330.888869
48,0.1875,119718680.647056
49,0.19140625,118668038.640415
50,0.1953125,117705021.059495
51,0.19921875,116542773.787466
52,0.203125,115701741.775081
53,0.20703125,114781668.154888
54,0.2109375,113966564.734935
55,0.21484375,113008406.379669
56,0.21875,112394611.62837
57,0.22265625,111489111.830343
58,0.2265625,110662252.851621
59,0.23046875,109932805.67204
60,0.234375,109236496.60433
61,0.23828125,108834232.987862
62,0.2421875,108261623.534648
63,0.24609375,107757763.047252
64,0.25,107092220.20329
65,0.25390625,106569947.292193
66,0.2578125,106057897.151709
67,0.26171875,105609858.385344
68,0.265625,105030461.255297
69,0.26953125,104497394.9993
70,0.2734375,103992403.252711
71,0.27734375,103597166.528154
72,0.28125,103259058.734281
73,0.28515625,102818502.514196
74,0.2890625,102311212.767085
75,0.29296875,101935966.632506
76,0.296875,101511230.268676
77,0.30078125,100982613.359158
78,0.3046875,100676252.198912
79,0.30859375,100377958.706647
80,0.3125,100127326.326554
81,0.31640625,99716844.3773305
82,0.3203125,99504966.1831685
83,0.32421875,99250964.0319822
84,0.328125,98863752.5291449
85,0.33203125,98522477.7037361
86,0.3359375,98269147.0542859
87,0.33984375,97981541.6862891
88,0.34375,97744871.2697358
89,0.34765625,97556295.36252
90,0.3515625,97298121.3852989
91,0.35546875,97031223.375811
92,0.359375,96748112.679596
93,0.36328125,96527368.5374977
94,0.3671875,96267096.2778428
95,0.37109375,96080463.2955749
96,0.375,95932174.8090211
97,0.37890625,95727579.6527389
98,0.3828125,95546705.7247556
99,0.38671875,95267296.7172648
100,0.390625,95075165.5151497
101,0.39453125,94899934.1903007
102,0.3984375,94735598.2677789
103,0.40234375,94611914.0349511
104,0.40625,94492530.3252535
105,0.41015625,94365366.7731485
106,0.4140625,94229193.6643727
107,0.41796875,94087277.8725558
108,0.421875,93929862.6176912
109,0.42578125,93791535.6167735
110,0.4296875,93666498.0233024
111,0.43359375,93582234.2457597
112,0.4375,93501358.9813695
113,0.44140625,93426962.7526344
114,0.4453125,93364546.6751726
115,0.44921875,93294203.0156353
116,0.453125,93255108.0231497
117,0.45703125,93230253.1667386
118,0.4609375,93229886.2015805
119,0.46484375,93255593.5356794
120,0.46875,93292498.8159252
121,0.47265625,93367303.3940336
122,0.4765625,93457075.0756634
123,0.48046875,93592981.955579
124,0.484375,93722423.3769885
125,0.48828125,93914790.5465869
126,0.4921875,94134864.1433063
127,0.49609375,94365594.7846921
128,0.5,94675674.4451828
129,0.50390625,95004127.1072053
130,0.5078125,95414164.1349598
131,0.51171875,95835589.6347758
132,0.515625,96266614.4143734
133,0.51953125,96826633.2791646
134,0.5234375,97362641.0891005
135,0.52734375,97922735.3449367
136,0.53125,98538422.0992376
137,0.53515625,99235116.8616216
138,0.5390625,99906279.5640683
139,0.54296875,100735170.82383
140,0.546875,101636132.718938
